Price,Room,Sqr_Meter,Location,City
1200,2,70,"Tunis, Ain Zaghouan",Ain Zaghouan
940,4,150,"Tunis, Ain Zaghouan",Ain Zaghouan
285,4,100,"Tunis, Ain Zaghouan",Ain Zaghouan
1150,3,135,"Tunis, Ain Zaghouan",Ain Zaghouan
780,4,200,"Tunis, Ain Zaghouan",Ain Zaghouan
750,2,60,"Tunis, Ain Zaghouan",Ain Zaghouan
1000,2,70,"Tunis, Ain Zaghouan",Ain Zaghouan
700,1,50,"Tunis, Ain Zaghouan",Ain Zaghouan
900,2,60,"Tunis, Ain Zaghouan",Ain Zaghouan
1200,3,100,"Tunis, Ain Zaghouan",Ain Zaghouan
850,3,70,"Tunis, Ain Zaghouan",Ain Zaghouan
1500,4,165,"Tunis, Ain Zaghouan",Ain Zaghouan
950,2,115,"Tunis, Ain Zaghouan",Ain Zaghouan
420,4,120,"Tunis, Ain Zaghouan",Ain Zaghouan
700,2,65,"Tunis, Ain Zaghouan",Ain Zaghouan
1500,1,60,"Tunis, Ain Zaghouan",Ain Zaghouan
1000,2,80,"Tunis, Ain Zaghouan",Ain Zaghouan
900,3,140,"Tunis, Ain Zaghouan",Ain Zaghouan
750,1,50,"Tunis, Ain Zaghouan",Ain Zaghouan
1300,4,150,"Tunis, Ain Zaghouan",Ain Zaghouan
1150,2,135,"Tunis, Ain Zaghouan",Ain Zaghouan
950,4,120,"Tunis, Ain Zaghouan",Ain Zaghouan
750,3,100,"Tunis, Ain Zaghouan",Ain Zaghouan
750,4,160,"Tunis, Ain Zaghouan",Ain Zaghouan
850,4,150,"Tunis, Ain Zaghouan",Ain Zaghouan
1800,2,120,"Tunis, Ain Zaghouan",Ain Zaghouan
320,3,110,"Tunis, Ain Zaghouan",Ain Zaghouan
1100,2,65,"Tunis, Ain Zaghouan",Ain Zaghouan
650,2,70,"Tunis, Ain Zaghouan",Ain Zaghouan
1650,3,150,"Tunis, Ain Zaghouan",Ain Zaghouan
1200,2,65,"Tunis, Ain Zaghouan",Ain Zaghouan
750,3,100,"Tunis, Ain Zaghouan",Ain Zaghouan
1200,4,146,"Tunis, Ain Zaghouan",Ain Zaghouan
1500,2,160,"Tunis, Ain Zaghouan",Ain Zaghouan
980,3,110,"Tunis, Ain Zaghouan",Ain Zaghouan
850,4,90,"Tunis, Ain Zaghouan",Ain Zaghouan
850,4,90,"Tunis, Ain Zaghouan",Ain Zaghouan
1500,2,80,"Tunis, Ain Zaghouan",Ain Zaghouan
1200,3,150,"Tunis, Ain Zaghouan",Ain Zaghouan
1000,3,160,"Tunis, Ain Zaghouan",Ain Zaghouan
1000,2,100,"Tunis, Ain Zaghouan",Ain Zaghouan
780,2,110,"Tunis, Ain Zaghouan",Ain Zaghouan
1000,2,100,"Tunis, Ain Zaghouan",Ain Zaghouan
1100,3,140,"Tunis, Ain Zaghouan",Ain Zaghouan
1000,3,150,"Tunis, Ain Zaghouan",Ain Zaghouan
850,3,70,"Tunis, Ain Zaghouan",Ain Zaghouan
700,2,70,"Tunis, Ain Zaghouan",Ain Zaghouan
700,2,70,"Tunis, Ain Zaghouan",Ain Zaghouan
1000,3,170,"Tunis, Ain Zaghouan",Ain Zaghouan
980,3,100,"Tunis, Ain Zaghouan",Ain Zaghouan
800,1,75,"Tunis, Ain Zaghouan",Ain Zaghouan
750,1,60,"Tunis, Ain Zaghouan",Ain Zaghouan
750,1,60,"Tunis, Ain Zaghouan",Ain Zaghouan
590,2,120,"Tunis, Ain Zaghouan",Ain Zaghouan
1200,2,100,"Tunis, Ain Zaghouan",Ain Zaghouan
2700,3,220,"Tunis, Ain Zaghouan",Ain Zaghouan
800,1,75,"Tunis, Ain Zaghouan",Ain Zaghouan
650,2,80,"Tunis, Ain Zaghouan",Ain Zaghouan
650,2,80,"Tunis, Ain Zaghouan",Ain Zaghouan
980,3,100,"Tunis, Ain Zaghouan",Ain Zaghouan
1300,4,150,"Tunis, Ain Zaghouan",Ain Zaghouan
650,2,70,"Tunis, Ain Zaghouan",Ain Zaghouan
650,2,70,"Tunis, Ain Zaghouan",Ain Zaghouan
980,3,100,"Tunis, Ain Zaghouan",Ain Zaghouan
980,3,100,"Tunis, Ain Zaghouan",Ain Zaghouan
1300,2,115,"Tunis, Ain Zaghouan",Ain Zaghouan
1000,2,130,"Tunis, Ain Zaghouan",Ain Zaghouan
650,1,60,"Tunis, Ain Zaghouan",Ain Zaghouan
1200,2,120,"Tunis, Ain Zaghouan",Ain Zaghouan
1300,2,115,"Tunis, Ain Zaghouan",Ain Zaghouan
900,3,120,"Tunis, Ain Zaghouan",Ain Zaghouan
980,3,100,"Tunis, Ain Zaghouan",Ain Zaghouan
700,1,30,"Tunis, Ain Zaghouan",Ain Zaghouan
750,2,80,"Tunis, Ain Zaghouan",Ain Zaghouan
980,3,100,"Tunis, Ain Zaghouan",Ain Zaghouan
980,3,100,"Tunis, Ain Zaghouan",Ain Zaghouan
1500,3,137,"Tunis, Ain Zaghouan",Ain Zaghouan
680,2,50,"Tunis, Ain Zaghouan",Ain Zaghouan
1800,3,160,"Tunis, Ain Zaghouan",Ain Zaghouan
1000,3,150,"Tunis, Ain Zaghouan",Ain Zaghouan
730,1,60,"Tunis, Ain Zaghouan",Ain Zaghouan
935,2,70,"Tunis, Ain Zaghouan",Ain Zaghouan
1925,3,110,"Tunis, Ain Zaghouan",Ain Zaghouan
1000,3,140,"Tunis, Ain Zaghouan",Ain Zaghouan
1500,3,137,"Tunis, Ain Zaghouan",Ain Zaghouan
1500,3,137,"Tunis, Ain Zaghouan",Ain Zaghouan
1000,3,120,"Tunis, Ain Zaghouan",Ain Zaghouan
1200,1,60,"Tunis, Ain Zaghouan",Ain Zaghouan
1000,3,140,"Tunis, Ain Zaghouan",Ain Zaghouan
1200,3,120,"Tunis, Ain Zaghouan",Ain Zaghouan
1500,3,130,"Tunis, Ain Zaghouan",Ain Zaghouan
700,1,62,"Tunis, Ain Zaghouan",Ain Zaghouan
700,1,60,"Tunis, Ain Zaghouan",Ain Zaghouan
900,2,70,"Tunis, Ain Zaghouan",Ain Zaghouan
700,2,60,"Tunis, Ain Zaghouan",Ain Zaghouan
950,3,112,"Tunis, Ain Zaghouan",Ain Zaghouan
1150,4,125,"Tunis, Ain Zaghouan",Ain Zaghouan
1000,5,170,"Tunis, Ain Zaghouan",Ain Zaghouan
